temperature,humidity,gas,vibration,current
25.1,68.4,880.0,0.0,0.01
25.1,68.4,880.0,0.0,0.01
24.2,65.3,895.0,0.0,0.0
24.2,65.3,880.0,0.0,0.08
24.2,65.3,865.0,0.0,0.0
24.2,65.3,868.0,0.0,0.08
24.2,65.3,862.0,0.0,0.08
24.2,65.3,892.0,0.0,0.0
24.2,65.3,870.0,0.0,0.22
24.2,65.3,877.0,0.0,0.13
24.2,65.3,883.0,0.0,0.0
24.2,65.3,868.0,0.0,0.0
24.2,65.3,858.0,0.0,0.0
24.2,65.3,886.0,0.0,0.13
24.2,65.3,894.0,0.0,0.23
24.2,65.3,895.0,0.0,0.0
24.2,65.3,871.0,0.0,0.0
24.2,65.3,865.0,0.0,0.0
24.2,65.3,880.0,0.0,0.21
24.2,65.3,867.0,0.0,0.0
24.2,65.3,857.0,0.0,0.0
24.2,65.3,878.0,0.0,0.0
24.2,65.3,859.0,0.0,0.0
24.2,65.3,896.0,0.0,0.06
24.2,65.3,861.0,0.0,0.24
24.2,65.3,867.0,0.0,0.0
24.2,65.3,869.0,0.0,0.01
24.2,65.3,873.0,0.0,0.09
24.2,65.3,857.0,0.0,0.0
24.2,65.3,867.0,0.0,0.01
24.2,65.3,876.0,0.0,0.0
24.2,65.3,865.0,0.0,0.0
24.2,65.3,868.0,0.0,0.0
24.2,65.3,899.0,0.0,0.13
24.2,65.3,878.0,0.0,0.0
24.2,65.3,880.0,0.0,0.0
24.2,65.3,879.0,0.0,0.0
24.2,65.3,873.0,0.0,0.04
24.2,65.3,871.0,0.0,0.1
24.2,65.3,883.0,0.0,0.08
24.2,65.3,895.0,0.0,0.06
24.2,65.3,873.0,0.0,0.0
24.2,65.3,871.0,0.0,0.1
24.2,65.3,869.0,0.0,0.0
24.2,65.3,871.0,0.0,0.0
24.2,65.3,863.0,0.0,0.0
24.2,65.3,877.0,0.0,0.18
24.2,65.3,883.0,0.0,0.0
24.2,65.3,865.0,0.0,0.0
24.2,65.3,880.0,1.0,0.0
24.2,65.3,878.0,1.0,0.0
24.2,65.3,871.0,1.0,0.0
24.2,65.3,865.0,1.0,0.0
24.2,65.3,863.0,1.0,0.15
24.2,65.3,861.0,0.0,0.0
24.2,65.3,862.0,0.0,0.0
24.2,65.3,867.0,0.0,0.12
24.2,65.3,880.0,1.0,0.0
24.2,65.3,867.0,0.0,0.1
24.2,65.3,868.0,1.0,0.0
24.2,65.3,859.0,0.0,0.1
24.2,65.3,867.0,0.0,0.0
24.2,65.3,875.0,0.0,0.3
24.2,65.3,871.0,0.0,0.0
24.2,65.3,863.0,0.0,0.0
24.2,65.3,885.0,0.0,0.18
24.2,65.3,870.0,0.0,0.0
24.2,65.3,893.0,0.0,0.01
24.2,65.3,863.0,0.0,0.0
24.2,65.3,866.0,0.0,0.06
24.2,65.3,869.0,0.0,0.26
24.2,65.3,870.0,1.0,0.02
24.2,65.3,871.0,1.0,0.0
24.2,65.3,878.0,1.0,0.13
24.2,65.3,870.0,0.0,0.0
24.2,65.3,880.0,0.0,0.0
24.2,65.3,877.0,0.0,0.0
24.2,65.3,864.0,0.0,0.0
24.2,65.3,869.0,0.0,0.0
24.2,65.3,887.0,0.0,0.04
24.2,65.3,893.0,0.0,0.0
24.2,65.3,874.0,0.0,0.0
24.2,65.3,896.0,0.0,0.0
24.2,65.3,867.0,0.0,0.01
24.2,65.3,888.0,0.0,0.0
24.2,65.3,865.0,0.0,0.0
24.2,65.3,856.0,0.0,0.04
24.2,65.3,874.0,0.0,0.0
24.2,65.3,867.0,0.0,0.0
24.2,65.3,878.0,0.0,0.06
24.2,65.3,863.0,0.0,0.0
24.2,65.3,865.0,0.0,0.0
24.2,65.3,879.0,0.0,0.0
24.2,65.3,876.0,0.0,0.06
24.2,65.3,896.0,0.0,0.0
24.2,65.3,880.0,0.0,0.06
24.2,65.3,870.0,0.0,0.07
24.2,65.3,864.0,0.0,0.0
24.2,65.3,873.0,0.0,0.0
24.2,65.3,883.0,0.0,0.19
